,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Timing val,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
connectionURL,http://localhost:3000/test,http://localhost:3000/test,http://localhost:3000/test,http://localhost:3000/test,http://localhost:3000/test,http://localhost:3000/test,http://localhost:3000/test,http://localhost:3000/test,http://localhost:3000/test,http://localhost:3000/test,http://localhost:3000/test,http://localhost:3000/test,http://localhost:3000/test,http://localhost:3000/test,http://localhost:3000/test,http://localhost:3000/test,http://localhost:3000/test,http://localhost:3000/test,http://localhost:3000/test,http://localhost:3000/test,http://localhost:3000/test,http://localhost:3000/test,http://localhost:3000/test,http://localhost:3000/test,http://localhost:3000/test,http://localhost:3000/test,http://localhost:3000/test,http://localhost:3000/test,http://localhost:3000/test,http://localhost:3000/test,http://localhost:3000/test
sendURL,http://localhost:3000/to_robot,http://localhost:3000/to_robot,http://localhost:3000/to_robot,http://localhost:3000/to_robot,http://localhost:3000/to_robot,http://localhost:3000/to_robot,http://localhost:3000/to_robot,http://localhost:3000/to_robot,http://localhost:3000/to_robot,http://localhost:3000/to_robot,http://localhost:3000/to_robot,http://localhost:3000/to_robot,http://localhost:3000/to_robot,http://localhost:3000/to_robot,http://localhost:3000/to_robot,http://localhost:3000/to_robot,http://localhost:3000/to_robot,http://localhost:3000/to_robot,http://localhost:3000/to_robot,http://localhost:3000/to_robot,http://localhost:3000/to_robot,http://localhost:3000/to_robot,http://localhost:3000/to_robot,http://localhost:3000/to_robot,http://localhost:3000/to_robot,http://localhost:3000/to_robot,http://localhost:3000/to_robot,http://localhost:3000/to_robot,http://localhost:3000/to_robot,http://localhost:3000/to_robot,http://localhost:3000/to_robot
pollingRate,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000
matchTime,135,135,135,135,135,135,135,135,135,135,135,135,135,135,135,135,135,135,135,135,135,135,135,135,135,135,135,135,135,135,135
autoModes,"[""Auto_2_Ball_A"",""Auto_2_Ball_B"",""Auto_3_Ball"",""Auto_Do_Nothing""]","[""Auto_2_Ball_A"",""Auto_2_Ball_B"",""Auto_3_Ball"",""Auto_Do_Nothing""]","[""Auto_2_Ball_A"",""Auto_2_Ball_B"",""Auto_3_Ball"",""Auto_Do_Nothing""]","[""Auto_2_Ball_A"",""Auto_2_Ball_B"",""Auto_3_Ball"",""Auto_Do_Nothing""]","[""Auto_2_Ball_A"",""Auto_2_Ball_B"",""Auto_3_Ball"",""Auto_Do_Nothing""]","[""Auto_2_Ball_A"",""Auto_2_Ball_B"",""Auto_3_Ball"",""Auto_Do_Nothing""]","[""Auto_2_Ball_A"",""Auto_2_Ball_B"",""Auto_3_Ball"",""Auto_Do_Nothing""]","[""Auto_2_Ball_A"",""Auto_2_Ball_B"",""Auto_3_Ball"",""Auto_Do_Nothing""]","[""Auto_2_Ball_A"",""Auto_2_Ball_B"",""Auto_3_Ball"",""Auto_Do_Nothing""]","[""Auto_2_Ball_A"",""Auto_2_Ball_B"",""Auto_3_Ball"",""Auto_Do_Nothing""]","[""Auto_2_Ball_A"",""Auto_2_Ball_B"",""Auto_3_Ball"",""Auto_Do_Nothing""]","[""Auto_2_Ball_A"",""Auto_2_Ball_B"",""Auto_3_Ball"",""Auto_Do_Nothing""]","[""Auto_2_Ball_A"",""Auto_2_Ball_B"",""Auto_3_Ball"",""Auto_Do_Nothing""]","[""Auto_2_Ball_A"",""Auto_2_Ball_B"",""Auto_3_Ball"",""Auto_Do_Nothing""]","[""Auto_2_Ball_A"",""Auto_2_Ball_B"",""Auto_3_Ball"",""Auto_Do_Nothing""]","[""Auto_2_Ball_A"",""Auto_2_Ball_B"",""Auto_3_Ball"",""Auto_Do_Nothing""]","[""Auto_2_Ball_A"",""Auto_2_Ball_B"",""Auto_3_Ball"",""Auto_Do_Nothing""]","[""Auto_2_Ball_A"",""Auto_2_Ball_B"",""Auto_3_Ball"",""Auto_Do_Nothing""]","[""Auto_2_Ball_A"",""Auto_2_Ball_B"",""Auto_3_Ball"",""Auto_Do_Nothing""]","[""Auto_2_Ball_A"",""Auto_2_Ball_B"",""Auto_3_Ball"",""Auto_Do_Nothing""]","[""Auto_2_Ball_A"",""Auto_2_Ball_B"",""Auto_3_Ball"",""Auto_Do_Nothing""]","[""Auto_2_Ball_A"",""Auto_2_Ball_B"",""Auto_3_Ball"",""Auto_Do_Nothing""]","[""Auto_2_Ball_A"",""Auto_2_Ball_B"",""Auto_3_Ball"",""Auto_Do_Nothing""]","[""Auto_2_Ball_A"",""Auto_2_Ball_B"",""Auto_3_Ball"",""Auto_Do_Nothing""]","[""Auto_2_Ball_A"",""Auto_2_Ball_B"",""Auto_3_Ball"",""Auto_Do_Nothing""]","[""Auto_2_Ball_A"",""Auto_2_Ball_B"",""Auto_3_Ball"",""Auto_Do_Nothing""]","[""Auto_2_Ball_A"",""Auto_2_Ball_B"",""Auto_3_Ball"",""Auto_Do_Nothing""]","[""Auto_2_Ball_A"",""Auto_2_Ball_B"",""Auto_3_Ball"",""Auto_Do_Nothing""]","[""Auto_2_Ball_A"",""Auto_2_Ball_B"",""Auto_3_Ball"",""Auto_Do_Nothing""]","[""Auto_2_Ball_A"",""Auto_2_Ball_B"",""Auto_3_Ball"",""Auto_Do_Nothing""]","[""Auto_2_Ball_A"",""Auto_2_Ball_B"",""Auto_3_Ball"",""Auto_Do_Nothing""]"
notificationList,"[{""title"":""Begin Climb"",""timeVal"":20}]","[{""title"":""Begin Climb"",""timeVal"":20}]","[{""title"":""Begin Climb"",""timeVal"":20}]","[{""title"":""Begin Climb"",""timeVal"":20}]","[{""title"":""Begin Climb"",""timeVal"":20}]","[{""title"":""Begin Climb"",""timeVal"":20}]","[{""title"":""Begin Climb"",""timeVal"":20}]","[{""title"":""Begin Climb"",""timeVal"":20}]","[{""title"":""Begin Climb"",""timeVal"":20}]","[{""title"":""Begin Climb"",""timeVal"":20}]","[{""title"":""Begin Climb"",""timeVal"":20}]","[{""title"":""Begin Climb"",""timeVal"":20}]","[{""title"":""Begin Climb"",""timeVal"":20}]","[{""title"":""Begin Climb"",""timeVal"":20}]","[{""title"":""Begin Climb"",""timeVal"":20}]","[{""title"":""Begin Climb"",""timeVal"":20}]","[{""title"":""Begin Climb"",""timeVal"":20}]","[{""title"":""Begin Climb"",""timeVal"":20}]","[{""title"":""Begin Climb"",""timeVal"":20}]","[{""title"":""Begin Climb"",""timeVal"":20}]","[{""title"":""Begin Climb"",""timeVal"":20}]","[{""title"":""Begin Climb"",""timeVal"":20}]","[{""title"":""Begin Climb"",""timeVal"":20}]","[{""title"":""Begin Climb"",""timeVal"":20}]","[{""title"":""Begin Climb"",""timeVal"":20}]","[{""title"":""Begin Climb"",""timeVal"":20}]","[{""title"":""Begin Climb"",""timeVal"":20}]","[{""title"":""Begin Climb"",""timeVal"":20}]","[{""title"":""Begin Climb"",""timeVal"":20}]","[{""title"":""Begin Climb"",""timeVal"":20}]","[{""title"":""Begin Climb"",""timeVal"":20}]"
driveModes,"[""ULTIMATESWERVE"",""ULTIMATEDEFENCE"",""ROBOTCENTRICSWERVE"",""TANK"",""SNAKE"",""SNAKE_X"",""CRAB"",""CRAB_X"",""SPIN"",""CAR"",""CAR_X"",""TANK_X"",""BALL_TRACK"",""HUB_TRACK""]","[""ULTIMATESWERVE"",""ULTIMATEDEFENCE"",""ROBOTCENTRICSWERVE"",""TANK"",""SNAKE"",""SNAKE_X"",""CRAB"",""CRAB_X"",""SPIN"",""CAR"",""CAR_X"",""TANK_X"",""BALL_TRACK"",""HUB_TRACK""]","[""ULTIMATESWERVE"",""ULTIMATEDEFENCE"",""ROBOTCENTRICSWERVE"",""TANK"",""SNAKE"",""SNAKE_X"",""CRAB"",""CRAB_X"",""SPIN"",""CAR"",""CAR_X"",""TANK_X"",""BALL_TRACK"",""HUB_TRACK""]","[""ULTIMATESWERVE"",""ULTIMATEDEFENCE"",""ROBOTCENTRICSWERVE"",""TANK"",""SNAKE"",""SNAKE_X"",""CRAB"",""CRAB_X"",""SPIN"",""CAR"",""CAR_X"",""TANK_X"",""BALL_TRACK"",""HUB_TRACK""]","[""ULTIMATESWERVE"",""ULTIMATEDEFENCE"",""ROBOTCENTRICSWERVE"",""TANK"",""SNAKE"",""SNAKE_X"",""CRAB"",""CRAB_X"",""SPIN"",""CAR"",""CAR_X"",""TANK_X"",""BALL_TRACK"",""HUB_TRACK""]","[""ULTIMATESWERVE"",""ULTIMATEDEFENCE"",""ROBOTCENTRICSWERVE"",""TANK"",""SNAKE"",""SNAKE_X"",""CRAB"",""CRAB_X"",""SPIN"",""CAR"",""CAR_X"",""TANK_X"",""BALL_TRACK"",""HUB_TRACK""]","[""ULTIMATESWERVE"",""ULTIMATEDEFENCE"",""ROBOTCENTRICSWERVE"",""TANK"",""SNAKE"",""SNAKE_X"",""CRAB"",""CRAB_X"",""SPIN"",""CAR"",""CAR_X"",""TANK_X"",""BALL_TRACK"",""HUB_TRACK""]","[""ULTIMATESWERVE"",""ULTIMATEDEFENCE"",""ROBOTCENTRICSWERVE"",""TANK"",""SNAKE"",""SNAKE_X"",""CRAB"",""CRAB_X"",""SPIN"",""CAR"",""CAR_X"",""TANK_X"",""BALL_TRACK"",""HUB_TRACK""]","[""ULTIMATESWERVE"",""ULTIMATEDEFENCE"",""ROBOTCENTRICSWERVE"",""TANK"",""SNAKE"",""SNAKE_X"",""CRAB"",""CRAB_X"",""SPIN"",""CAR"",""CAR_X"",""TANK_X"",""BALL_TRACK"",""HUB_TRACK""]","[""ULTIMATESWERVE"",""ULTIMATEDEFENCE"",""ROBOTCENTRICSWERVE"",""TANK"",""SNAKE"",""SNAKE_X"",""CRAB"",""CRAB_X"",""SPIN"",""CAR"",""CAR_X"",""TANK_X"",""BALL_TRACK"",""HUB_TRACK""]","[""ULTIMATESWERVE"",""ULTIMATEDEFENCE"",""ROBOTCENTRICSWERVE"",""TANK"",""SNAKE"",""SNAKE_X"",""CRAB"",""CRAB_X"",""SPIN"",""CAR"",""CAR_X"",""TANK_X"",""BALL_TRACK"",""HUB_TRACK""]","[""ULTIMATESWERVE"",""ULTIMATEDEFENCE"",""ROBOTCENTRICSWERVE"",""TANK"",""SNAKE"",""SNAKE_X"",""CRAB"",""CRAB_X"",""SPIN"",""CAR"",""CAR_X"",""TANK_X"",""BALL_TRACK"",""HUB_TRACK""]","[""ULTIMATESWERVE"",""ULTIMATEDEFENCE"",""ROBOTCENTRICSWERVE"",""TANK"",""SNAKE"",""SNAKE_X"",""CRAB"",""CRAB_X"",""SPIN"",""CAR"",""CAR_X"",""TANK_X"",""BALL_TRACK"",""HUB_TRACK""]","[""ULTIMATESWERVE"",""ULTIMATEDEFENCE"",""ROBOTCENTRICSWERVE"",""TANK"",""SNAKE"",""SNAKE_X"",""CRAB"",""CRAB_X"",""SPIN"",""CAR"",""CAR_X"",""TANK_X"",""BALL_TRACK"",""HUB_TRACK""]","[""ULTIMATESWERVE"",""ULTIMATEDEFENCE"",""ROBOTCENTRICSWERVE"",""TANK"",""SNAKE"",""SNAKE_X"",""CRAB"",""CRAB_X"",""SPIN"",""CAR"",""CAR_X"",""TANK_X"",""BALL_TRACK"",""HUB_TRACK""]","[""ULTIMATESWERVE"",""ULTIMATEDEFENCE"",""ROBOTCENTRICSWERVE"",""TANK"",""SNAKE"",""SNAKE_X"",""CRAB"",""CRAB_X"",""SPIN"",""CAR"",""CAR_X"",""TANK_X"",""BALL_TRACK"",""HUB_TRACK""]","[""ULTIMATESWERVE"",""ULTIMATEDEFENCE"",""ROBOTCENTRICSWERVE"",""TANK"",""SNAKE"",""SNAKE_X"",""CRAB"",""CRAB_X"",""SPIN"",""CAR"",""CAR_X"",""TANK_X"",""BALL_TRACK"",""HUB_TRACK""]","[""ULTIMATESWERVE"",""ULTIMATEDEFENCE"",""ROBOTCENTRICSWERVE"",""TANK"",""SNAKE"",""SNAKE_X"",""CRAB"",""CRAB_X"",""SPIN"",""CAR"",""CAR_X"",""TANK_X"",""BALL_TRACK"",""HUB_TRACK""]","[""ULTIMATESWERVE"",""ULTIMATEDEFENCE"",""ROBOTCENTRICSWERVE"",""TANK"",""SNAKE"",""SNAKE_X"",""CRAB"",""CRAB_X"",""SPIN"",""CAR"",""CAR_X"",""TANK_X"",""BALL_TRACK"",""HUB_TRACK""]","[""ULTIMATESWERVE"",""ULTIMATEDEFENCE"",""ROBOTCENTRICSWERVE"",""TANK"",""SNAKE"",""SNAKE_X"",""CRAB"",""CRAB_X"",""SPIN"",""CAR"",""CAR_X"",""TANK_X"",""BALL_TRACK"",""HUB_TRACK""]","[""ULTIMATESWERVE"",""ULTIMATEDEFENCE"",""ROBOTCENTRICSWERVE"",""TANK"",""SNAKE"",""SNAKE_X"",""CRAB"",""CRAB_X"",""SPIN"",""CAR"",""CAR_X"",""TANK_X"",""BALL_TRACK"",""HUB_TRACK""]","[""ULTIMATESWERVE"",""ULTIMATEDEFENCE"",""ROBOTCENTRICSWERVE"",""TANK"",""SNAKE"",""SNAKE_X"",""CRAB"",""CRAB_X"",""SPIN"",""CAR"",""CAR_X"",""TANK_X"",""BALL_TRACK"",""HUB_TRACK""]","[""ULTIMATESWERVE"",""ULTIMATEDEFENCE"",""ROBOTCENTRICSWERVE"",""TANK"",""SNAKE"",""SNAKE_X"",""CRAB"",""CRAB_X"",""SPIN"",""CAR"",""CAR_X"",""TANK_X"",""BALL_TRACK"",""HUB_TRACK""]","[""ULTIMATESWERVE"",""ULTIMATEDEFENCE"",""ROBOTCENTRICSWERVE"",""TANK"",""SNAKE"",""SNAKE_X"",""CRAB"",""CRAB_X"",""SPIN"",""CAR"",""CAR_X"",""TANK_X"",""BALL_TRACK"",""HUB_TRACK""]","[""ULTIMATESWERVE"",""ULTIMATEDEFENCE"",""ROBOTCENTRICSWERVE"",""TANK"",""SNAKE"",""SNAKE_X"",""CRAB"",""CRAB_X"",""SPIN"",""CAR"",""CAR_X"",""TANK_X"",""BALL_TRACK"",""HUB_TRACK""]","[""ULTIMATESWERVE"",""ULTIMATEDEFENCE"",""ROBOTCENTRICSWERVE"",""TANK"",""SNAKE"",""SNAKE_X"",""CRAB"",""CRAB_X"",""SPIN"",""CAR"",""CAR_X"",""TANK_X"",""BALL_TRACK"",""HUB_TRACK""]","[""ULTIMATESWERVE"",""ULTIMATEDEFENCE"",""ROBOTCENTRICSWERVE"",""TANK"",""SNAKE"",""SNAKE_X"",""CRAB"",""CRAB_X"",""SPIN"",""CAR"",""CAR_X"",""TANK_X"",""BALL_TRACK"",""HUB_TRACK""]","[""ULTIMATESWERVE"",""ULTIMATEDEFENCE"",""ROBOTCENTRICSWERVE"",""TANK"",""SNAKE"",""SNAKE_X"",""CRAB"",""CRAB_X"",""SPIN"",""CAR"",""CAR_X"",""TANK_X"",""BALL_TRACK"",""HUB_TRACK""]","[""ULTIMATESWERVE"",""ULTIMATEDEFENCE"",""ROBOTCENTRICSWERVE"",""TANK"",""SNAKE"",""SNAKE_X"",""CRAB"",""CRAB_X"",""SPIN"",""CAR"",""CAR_X"",""TANK_X"",""BALL_TRACK"",""HUB_TRACK""]","[""ULTIMATESWERVE"",""ULTIMATEDEFENCE"",""ROBOTCENTRICSWERVE"",""TANK"",""SNAKE"",""SNAKE_X"",""CRAB"",""CRAB_X"",""SPIN"",""CAR"",""CAR_X"",""TANK_X"",""BALL_TRACK"",""HUB_TRACK""]","[""ULTIMATESWERVE"",""ULTIMATEDEFENCE"",""ROBOTCENTRICSWERVE"",""TANK"",""SNAKE"",""SNAKE_X"",""CRAB"",""CRAB_X"",""SPIN"",""CAR"",""CAR_X"",""TANK_X"",""BALL_TRACK"",""HUB_TRACK""]"
intakeModes,"[""INTAKE_DEPLOY_REQUESTED"",""INTAKE_RETRACT_REQUESTED"",""INTAKE_DEPLOYED"",""INTAKE_RETRACTED""]","[""INTAKE_DEPLOY_REQUESTED"",""INTAKE_RETRACT_REQUESTED"",""INTAKE_DEPLOYED"",""INTAKE_RETRACTED""]","[""INTAKE_DEPLOY_REQUESTED"",""INTAKE_RETRACT_REQUESTED"",""INTAKE_DEPLOYED"",""INTAKE_RETRACTED""]","[""INTAKE_DEPLOY_REQUESTED"",""INTAKE_RETRACT_REQUESTED"",""INTAKE_DEPLOYED"",""INTAKE_RETRACTED""]","[""INTAKE_DEPLOY_REQUESTED"",""INTAKE_RETRACT_REQUESTED"",""INTAKE_DEPLOYED"",""INTAKE_RETRACTED""]","[""INTAKE_DEPLOY_REQUESTED"",""INTAKE_RETRACT_REQUESTED"",""INTAKE_DEPLOYED"",""INTAKE_RETRACTED""]","[""INTAKE_DEPLOY_REQUESTED"",""INTAKE_RETRACT_REQUESTED"",""INTAKE_DEPLOYED"",""INTAKE_RETRACTED""]","[""INTAKE_DEPLOY_REQUESTED"",""INTAKE_RETRACT_REQUESTED"",""INTAKE_DEPLOYED"",""INTAKE_RETRACTED""]","[""INTAKE_DEPLOY_REQUESTED"",""INTAKE_RETRACT_REQUESTED"",""INTAKE_DEPLOYED"",""INTAKE_RETRACTED""]","[""INTAKE_DEPLOY_REQUESTED"",""INTAKE_RETRACT_REQUESTED"",""INTAKE_DEPLOYED"",""INTAKE_RETRACTED""]","[""INTAKE_DEPLOY_REQUESTED"",""INTAKE_RETRACT_REQUESTED"",""INTAKE_DEPLOYED"",""INTAKE_RETRACTED""]","[""INTAKE_DEPLOY_REQUESTED"",""INTAKE_RETRACT_REQUESTED"",""INTAKE_DEPLOYED"",""INTAKE_RETRACTED""]","[""INTAKE_DEPLOY_REQUESTED"",""INTAKE_RETRACT_REQUESTED"",""INTAKE_DEPLOYED"",""INTAKE_RETRACTED""]","[""INTAKE_DEPLOY_REQUESTED"",""INTAKE_RETRACT_REQUESTED"",""INTAKE_DEPLOYED"",""INTAKE_RETRACTED""]","[""INTAKE_DEPLOY_REQUESTED"",""INTAKE_RETRACT_REQUESTED"",""INTAKE_DEPLOYED"",""INTAKE_RETRACTED""]","[""INTAKE_DEPLOY_REQUESTED"",""INTAKE_RETRACT_REQUESTED"",""INTAKE_DEPLOYED"",""INTAKE_RETRACTED""]","[""INTAKE_DEPLOY_REQUESTED"",""INTAKE_RETRACT_REQUESTED"",""INTAKE_DEPLOYED"",""INTAKE_RETRACTED""]","[""INTAKE_DEPLOY_REQUESTED"",""INTAKE_RETRACT_REQUESTED"",""INTAKE_DEPLOYED"",""INTAKE_RETRACTED""]","[""INTAKE_DEPLOY_REQUESTED"",""INTAKE_RETRACT_REQUESTED"",""INTAKE_DEPLOYED"",""INTAKE_RETRACTED""]","[""INTAKE_DEPLOY_REQUESTED"",""INTAKE_RETRACT_REQUESTED"",""INTAKE_DEPLOYED"",""INTAKE_RETRACTED""]","[""INTAKE_DEPLOY_REQUESTED"",""INTAKE_RETRACT_REQUESTED"",""INTAKE_DEPLOYED"",""INTAKE_RETRACTED""]","[""INTAKE_DEPLOY_REQUESTED"",""INTAKE_RETRACT_REQUESTED"",""INTAKE_DEPLOYED"",""INTAKE_RETRACTED""]","[""INTAKE_DEPLOY_REQUESTED"",""INTAKE_RETRACT_REQUESTED"",""INTAKE_DEPLOYED"",""INTAKE_RETRACTED""]","[""INTAKE_DEPLOY_REQUESTED"",""INTAKE_RETRACT_REQUESTED"",""INTAKE_DEPLOYED"",""INTAKE_RETRACTED""]","[""INTAKE_DEPLOY_REQUESTED"",""INTAKE_RETRACT_REQUESTED"",""INTAKE_DEPLOYED"",""INTAKE_RETRACTED""]","[""INTAKE_DEPLOY_REQUESTED"",""INTAKE_RETRACT_REQUESTED"",""INTAKE_DEPLOYED"",""INTAKE_RETRACTED""]","[""INTAKE_DEPLOY_REQUESTED"",""INTAKE_RETRACT_REQUESTED"",""INTAKE_DEPLOYED"",""INTAKE_RETRACTED""]","[""INTAKE_DEPLOY_REQUESTED"",""INTAKE_RETRACT_REQUESTED"",""INTAKE_DEPLOYED"",""INTAKE_RETRACTED""]","[""INTAKE_DEPLOY_REQUESTED"",""INTAKE_RETRACT_REQUESTED"",""INTAKE_DEPLOYED"",""INTAKE_RETRACTED""]","[""INTAKE_DEPLOY_REQUESTED"",""INTAKE_RETRACT_REQUESTED"",""INTAKE_DEPLOYED"",""INTAKE_RETRACTED""]","[""INTAKE_DEPLOY_REQUESTED"",""INTAKE_RETRACT_REQUESTED"",""INTAKE_DEPLOYED"",""INTAKE_RETRACTED""]"
injectorModes,"[""INJECTOR_REVERSE"",""INJECTOR_FORWARD"",""INJECTOR_INDEX_BALL"",""INJECTOR_REVERSE_INDEX_BALL"",""INJECTOR_STOP""]","[""INJECTOR_REVERSE"",""INJECTOR_FORWARD"",""INJECTOR_INDEX_BALL"",""INJECTOR_REVERSE_INDEX_BALL"",""INJECTOR_STOP""]","[""INJECTOR_REVERSE"",""INJECTOR_FORWARD"",""INJECTOR_INDEX_BALL"",""INJECTOR_REVERSE_INDEX_BALL"",""INJECTOR_STOP""]","[""INJECTOR_REVERSE"",""INJECTOR_FORWARD"",""INJECTOR_INDEX_BALL"",""INJECTOR_REVERSE_INDEX_BALL"",""INJECTOR_STOP""]","[""INJECTOR_REVERSE"",""INJECTOR_FORWARD"",""INJECTOR_INDEX_BALL"",""INJECTOR_REVERSE_INDEX_BALL"",""INJECTOR_STOP""]","[""INJECTOR_REVERSE"",""INJECTOR_FORWARD"",""INJECTOR_INDEX_BALL"",""INJECTOR_REVERSE_INDEX_BALL"",""INJECTOR_STOP""]","[""INJECTOR_REVERSE"",""INJECTOR_FORWARD"",""INJECTOR_INDEX_BALL"",""INJECTOR_REVERSE_INDEX_BALL"",""INJECTOR_STOP""]","[""INJECTOR_REVERSE"",""INJECTOR_FORWARD"",""INJECTOR_INDEX_BALL"",""INJECTOR_REVERSE_INDEX_BALL"",""INJECTOR_STOP""]","[""INJECTOR_REVERSE"",""INJECTOR_FORWARD"",""INJECTOR_INDEX_BALL"",""INJECTOR_REVERSE_INDEX_BALL"",""INJECTOR_STOP""]","[""INJECTOR_REVERSE"",""INJECTOR_FORWARD"",""INJECTOR_INDEX_BALL"",""INJECTOR_REVERSE_INDEX_BALL"",""INJECTOR_STOP""]","[""INJECTOR_REVERSE"",""INJECTOR_FORWARD"",""INJECTOR_INDEX_BALL"",""INJECTOR_REVERSE_INDEX_BALL"",""INJECTOR_STOP""]","[""INJECTOR_REVERSE"",""INJECTOR_FORWARD"",""INJECTOR_INDEX_BALL"",""INJECTOR_REVERSE_INDEX_BALL"",""INJECTOR_STOP""]","[""INJECTOR_REVERSE"",""INJECTOR_FORWARD"",""INJECTOR_INDEX_BALL"",""INJECTOR_REVERSE_INDEX_BALL"",""INJECTOR_STOP""]","[""INJECTOR_REVERSE"",""INJECTOR_FORWARD"",""INJECTOR_INDEX_BALL"",""INJECTOR_REVERSE_INDEX_BALL"",""INJECTOR_STOP""]","[""INJECTOR_REVERSE"",""INJECTOR_FORWARD"",""INJECTOR_INDEX_BALL"",""INJECTOR_REVERSE_INDEX_BALL"",""INJECTOR_STOP""]","[""INJECTOR_REVERSE"",""INJECTOR_FORWARD"",""INJECTOR_INDEX_BALL"",""INJECTOR_REVERSE_INDEX_BALL"",""INJECTOR_STOP""]","[""INJECTOR_REVERSE"",""INJECTOR_FORWARD"",""INJECTOR_INDEX_BALL"",""INJECTOR_REVERSE_INDEX_BALL"",""INJECTOR_STOP""]","[""INJECTOR_REVERSE"",""INJECTOR_FORWARD"",""INJECTOR_INDEX_BALL"",""INJECTOR_REVERSE_INDEX_BALL"",""INJECTOR_STOP""]","[""INJECTOR_REVERSE"",""INJECTOR_FORWARD"",""INJECTOR_INDEX_BALL"",""INJECTOR_REVERSE_INDEX_BALL"",""INJECTOR_STOP""]","[""INJECTOR_REVERSE"",""INJECTOR_FORWARD"",""INJECTOR_INDEX_BALL"",""INJECTOR_REVERSE_INDEX_BALL"",""INJECTOR_STOP""]","[""INJECTOR_REVERSE"",""INJECTOR_FORWARD"",""INJECTOR_INDEX_BALL"",""INJECTOR_REVERSE_INDEX_BALL"",""INJECTOR_STOP""]","[""INJECTOR_REVERSE"",""INJECTOR_FORWARD"",""INJECTOR_INDEX_BALL"",""INJECTOR_REVERSE_INDEX_BALL"",""INJECTOR_STOP""]","[""INJECTOR_REVERSE"",""INJECTOR_FORWARD"",""INJECTOR_INDEX_BALL"",""INJECTOR_REVERSE_INDEX_BALL"",""INJECTOR_STOP""]","[""INJECTOR_REVERSE"",""INJECTOR_FORWARD"",""INJECTOR_INDEX_BALL"",""INJECTOR_REVERSE_INDEX_BALL"",""INJECTOR_STOP""]","[""INJECTOR_REVERSE"",""INJECTOR_FORWARD"",""INJECTOR_INDEX_BALL"",""INJECTOR_REVERSE_INDEX_BALL"",""INJECTOR_STOP""]","[""INJECTOR_REVERSE"",""INJECTOR_FORWARD"",""INJECTOR_INDEX_BALL"",""INJECTOR_REVERSE_INDEX_BALL"",""INJECTOR_STOP""]","[""INJECTOR_REVERSE"",""INJECTOR_FORWARD"",""INJECTOR_INDEX_BALL"",""INJECTOR_REVERSE_INDEX_BALL"",""INJECTOR_STOP""]","[""INJECTOR_REVERSE"",""INJECTOR_FORWARD"",""INJECTOR_INDEX_BALL"",""INJECTOR_REVERSE_INDEX_BALL"",""INJECTOR_STOP""]","[""INJECTOR_REVERSE"",""INJECTOR_FORWARD"",""INJECTOR_INDEX_BALL"",""INJECTOR_REVERSE_INDEX_BALL"",""INJECTOR_STOP""]","[""INJECTOR_REVERSE"",""INJECTOR_FORWARD"",""INJECTOR_INDEX_BALL"",""INJECTOR_REVERSE_INDEX_BALL"",""INJECTOR_STOP""]","[""INJECTOR_REVERSE"",""INJECTOR_FORWARD"",""INJECTOR_INDEX_BALL"",""INJECTOR_REVERSE_INDEX_BALL"",""INJECTOR_STOP""]"
doConnection,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true
